Target,Loss,Prediction
8,0.45959946513175964,6
5,0.4861907660961151,9
9,0.00886059645563364,9
4,0.008736809715628624,4
1,0.0062364195473492146,1
8,0.4170248508453369,1
3,0.5104230642318726,2
7,0.00919501855969429,7
6,0.5883804559707642,8
2,0.45717164874076843,3
4,0.010220888070762157,4
7,0.010121436789631844,7
9,0.444012850522995,7
2,0.005061762873083353,2
9,0.007640958763659,9
9,0.00403613829985261,9
7,0.42891398072242737,9
1,0.35649141669273376,3
0,0.4808688163757324,2
6,0.009888309985399246,6
4,0.011432280763983727,4
3,0.0096309594810009,3
6,0.01215999573469162,6
6,0.012460727244615555,6
5,0.47393983602523804,2
6,0.010154861025512218,6
3,0.012141305953264236,3
5,0.009968315251171589,5
4,0.00983043946325779,4
4,0.6383242011070251,0
0,0.01104563195258379,0
9,0.007875063456594944,9
9,0.2912355959415436,1
7,0.35499298572540283,3
1,0.49433013796806335,4
2,0.2930929362773895,0
7,0.6246300935745239,3
7,0.0057114954106509686,7
7,0.3602675795555115,3
5,0.3906058371067047,4
5,0.01225369144231081,5
1,0.5744048357009888,2
3,0.526288628578186,2
0,0.3196827471256256,7
6,0.5350879430770874,1
1,0.010917801409959793,1
1,0.0062183295376598835,1
7,0.44348907470703125,2
2,0.007640691939741373,2
3,0.3700924217700958,0
9,0.008750766515731812,9
9,0.4341636002063751,5
7,0.012598780915141106,7
9,0.006988381501287222,9
2,0.004434476140886545,2
2,0.0266164131462574,2
5,0.015451239421963692,5
2,0.006790545769035816,2
4,0.011740789748728275,4
8,0.8629587888717651,3
1,0.006304780021309853,1
1,0.010889265686273575,1
9,0.42322176694869995,8
0,0.3645760416984558,2
0,0.6160357594490051,1
0,0.4424734115600586,1
9,0.46668708324432373,4
9,0.00934236217290163,9
7,0.009487216360867023,7
8,0.003915863577276468,8
9,0.5207107067108154,5
2,0.47439655661582947,9
7,0.5836793184280396,6
8,0.4816398322582245,7
5,0.014330008998513222,5
6,0.524665355682373,1
9,0.0058141243644058704,9
0,0.005326847545802593,0
3,0.008308247663080692,3
4,0.6164856553077698,1
3,0.013145106844604015,3
8,0.6899982690811157,5
4,0.010878554545342922,4
1,0.4259861409664154,5
7,0.008421766571700573,7
7,0.013991763815283775,7
4,0.010512485168874264,4
7,0.005187504459172487,7
1,0.5800181031227112,9
4,0.0036325999535620213,4
1,0.40174463391304016,2
3,0.008860418573021889,3
8,0.03052627667784691,8
8,0.3549495041370392,0
1,0.010382520966231823,1
6,0.010081433691084385,6
7,0.490243524312973,1
3,0.4498349726200104,1
4,0.011430102400481701,4
1,0.007011938374489546,1
1,0.6410516500473022,8
3,0.00691864313557744,3
3,0.54532390832901,9
9,0.43233296275138855,6
7,0.5494550466537476,6
9,0.4292069375514984,1
7,0.500497579574585,8
5,0.010867887176573277,5
0,0.3499661087989807,2
9,0.005463701207190752,9
9,0.005510859657078981,9
8,0.011231711134314537,8
5,0.427592009305954,1
7,0.0078085255809128284,7
5,0.41852250695228577,7
7,0.6650092005729675,0
1,0.3968733847141266,0
6,0.013790706172585487,6
7,0.4869500696659088,9
1,0.00503949448466301,1
2,0.009631626307964325,2
6,0.30627721548080444,2
9,0.00609374325722456,9
0,0.4390678107738495,2
6,0.010907445102930069,6
6,0.008560842834413052,6
1,0.009010162204504013,1
9,0.00861231330782175,9
3,0.3191252052783966,5
1,0.4951956868171692,0
4,0.00956286583095789,4
7,0.00823295395821333,7
6,0.011780348606407642,6
0,0.398833692073822,7
1,0.008063120767474174,1
3,0.35769012570381165,8
1,0.009270045906305313,1
2,0.5533797144889832,1
2,0.005684826988726854,2
8,0.009246133267879486,8
7,0.45826274156570435,1
3,0.008616534993052483,3
7,0.3880655765533447,3
1,0.42557668685913086,6
2,0.011457081884145737,2
4,0.01148548349738121,4
9,0.00941512268036604,9
9,0.006697650533169508,9
5,0.011424857191741467,5
4,0.01253959909081459,4
5,0.28665220737457275,3
6,0.0068504163064062595,6
6,0.515897810459137,7
4,0.008329582400619984,4
5,0.4649580419063568,6
8,0.00941716693341732,8
6,0.49868279695510864,5
9,0.5785546898841858,5
4,0.010486528277397156,4
3,0.010079966858029366,3
1,0.005445210728794336,1
8,0.0060579185374081135,8
4,0.00732795987278223,4
7,0.012011763639748096,7
6,0.013664408586919308,6
0,0.016367413103580475,0
9,0.007885508239269257,9
8,0.5631381869316101,5
0,0.38342899084091187,1
3,0.011930624954402447,3
1,0.4897500276565552,8
2,0.013305695727467537,2
0,0.2906680405139923,7
4,0.4166276454925537,5
3,0.006797568406909704,3
4,0.010616691783070564,4
1,0.012754191644489765,1
4,0.3006082773208618,5
6,0.4834762513637543,7
9,0.5640295743942261,0
6,0.3947407007217407,4
7,0.005043272860348225,7
5,0.011058788746595383,5
1,0.24095138907432556,5
1,0.008721786551177502,1
0,0.008760455995798111,0
9,0.006566619500517845,9
6,0.009576422162353992,6
9,0.0075303735211491585,9
0,0.0026174650993198156,0
8,0.010248156264424324,8
7,0.003168479772284627,7
8,0.010757435113191605,8
6,0.4927411675453186,8
0,0.3990686237812042,2
5,0.010371542535722256,5
5,0.3737928867340088,2
3,0.007742343004792929,3
8,0.7462760210037231,5
0,0.010549820959568024,0
4,0.42586177587509155,6
1,0.004276554565876722,1
3,0.5272080302238464,9
3,0.011152972467243671,3
6,0.015297540463507175,6
8,0.5511475801467896,9
1,0.007555264048278332,1
7,0.4203958511352539,3
9,0.0076752277091145515,9
6,0.014396501705050468,6
6,0.012477640062570572,6
7,0.011732478626072407,7
1,0.007298179902136326,1
0,0.007157681509852409,0
6,0.4600614607334137,9
5,0.006704939994961023,5
8,0.012629716657102108,8
9,0.6729645729064941,5
